verein,marktwert,date
1.FSV Mainz 05,89.55,2021-01-15
1.FC Köln,101.80,2021-01-15
FC Augsburg,104.88,2021-01-15
Hertha BSC,252.18,2021-01-15
1.FC Union Berlin,60.60,2021-01-15
Arminia Bielefeld,45.15,2021-01-15
VfL Bochum,17.58,2021-01-15
SpVgg Greuther Fürth,14.85,2021-01-15
FC Bayern München,893.70,2021-01-01
Borussia Dortmund,614.78,2021-01-01
RasenBallsport Leipzig,552.68,2021-01-01
Bayer 04 Leverkusen,343.45,2021-01-01
Eintracht Frankfurt,186.20,2021-01-01
VfL Wolfsburg,218.95,2021-01-01
Borussia Mönchengladbach,342.88,2021-01-01
TSG 1899 Hoffenheim,238.33,2021-01-01
VfB Stuttgart,103.45,2021-01-01
SC Freiburg,111.70,2021-01-01
